(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
(0.5, 7.65)
(0.5, 7.2)
(0.8, 7.5)
(0.35, 7.5)
(7.5, 7.65)
(7.5, 7.2)
(7.65, 7.5)
(7.2, 7.5)
